feature,model_count,avg_rank,worst_rank,avg_relative_mean_abs_shap,max_relative_mean_abs_shap,feature_type,train_target_spearman,target_correlation_direction,abs_train_target_spearman,pruning_candidate
pair_CLNE_HTTX,1,110.0,110,5.013445340454049e-05,5.013445340454049e-05,numeric,0.0974331986030481,positive,0.0974331986030481,False
pair_CORL_MNDO,1,109.0,109,5.198219031597823e-05,5.198219031597823e-05,numeric,0.029547048441553526,mixed_or_flat,0.029547048441553526,False
pair_CLNE_NABO,1,108.0,108,5.587708235836241e-05,5.587708235836241e-05,numeric,0.017999106504114185,mixed_or_flat,0.017999106504114185,False
pair_HTTX_MNDO,1,107.0,107,5.733565809128796e-05,5.733565809128796e-05,numeric,0.0840438116527247,positive,0.0840438116527247,False
pair_MNDO_WOOK,1,106.0,106,5.8873030645555934e-05,5.8873030645555934e-05,numeric,0.0383035471130098,mixed_or_flat,0.0383035471130098,False
underlying_NABO,1,105.0,105,5.9305628717377296e-05,5.9305628717377296e-05,numeric,0.10706785826196215,positive,0.10706785826196215,False
pair_KYBR_WOOK,1,104.0,104,5.972024251578212e-05,5.972024251578212e-05,numeric,0.03401949498940102,mixed_or_flat,0.03401949498940102,False
pair_BSKR_HTTX,1,103.0,103,5.97852214313516e-05,5.97852214313516e-05,numeric,0.10208891095976996,positive,0.10208891095976996,False
pair_DRC_POBK,1,102.0,102,6.233965077908458e-05,6.233965077908458e-05,numeric,0.04682994343383384,mixed_or_flat,0.04682994343383384,False
pair_DRC_SITH,1,101.0,101,6.533813200439667e-05,6.533813200439667e-05,numeric,0.03582310409498646,mixed_or_flat,0.03582310409498646,False
pair_CORL_NABO,1,100.0,100,7.256494983288775e-05,7.256494983288775e-05,numeric,0.03790315668305951,mixed_or_flat,0.03790315668305951,False
pair_KYBR_POBK,1,99.0,99,8.166406191231106e-05,8.166406191231106e-05,numeric,0.025282612391322047,mixed_or_flat,0.025282612391322047,False
pair_CORL_WOOK,1,98.0,98,8.432870881593728e-05,8.432870881593728e-05,numeric,0.02941399266303962,mixed_or_flat,0.02941399266303962,False
pair_CLNE_KYBR,1,97.0,97,8.626807246994662e-05,8.626807246994662e-05,numeric,0.03524425350710264,mixed_or_flat,0.03524425350710264,False
underlying_POBK,1,96.0,96,9.090649592049525e-05,9.090649592049525e-05,numeric,0.036186856671836444,mixed_or_flat,0.036186856671836444,False
pair_JEDI_REBL,1,95.0,95,0.000101240840709053,0.000101240840709053,numeric,-0.023848272358665226,mixed_or_flat,0.023848272358665226,False
underlying_WOOK,1,94.0,94,0.00011470587303092569,0.00011470587303092569,numeric,0.05332801075543604,positive,0.05332801075543604,False
pair_CLNE_DRC,1,93.0,93,0.00011858350833075839,0.00011858350833075839,numeric,0.024313023246432877,mixed_or_flat,0.024313023246432877,False
sector_concentration,1,92.0,92,0.0001385301006706124,0.0001385301006706124,numeric,-0.35136037936382625,negative,0.35136037936382625,False
underlying_SITH,1,91.0,91,0.000143684502195814,0.000143684502195814,numeric,0.042940545899905626,mixed_or_flat,0.042940545899905626,False
is_daily_observation,1,90.0,90,0.00015340468171304064,0.00015340468171304064,numeric,-0.06225066366432825,negative,0.06225066366432825,False
pair_DRC_REBL,1,89.0,89,0.00015716548168982764,0.00015716548168982764,numeric,-0.009376214449629803,mixed_or_flat,0.009376214449629803,False
pair_REBL_SITH,1,88.0,88,0.00016065423774379244,0.00016065423774379244,numeric,0.000593496526821006,mixed_or_flat,0.000593496526821006,False
pair_NABO_TECH,1,87.0,87,0.00016297360614724293,0.00016297360614724293,numeric,0.021971538724096077,mixed_or_flat,0.021971538724096077,False
pair_CORL_DRC,1,86.0,86,0.00018337803774147018,0.00018337803774147018,numeric,0.02751396159084487,mixed_or_flat,0.02751396159084487,False
pair_CORL_HTTX,1,85.0,85,0.0002008704959850908,0.0002008704959850908,numeric,0.0971713704224369,positive,0.0971713704224369,False
pair_BSKR_POBK,1,84.0,84,0.00021033159194221423,0.00021033159194221423,numeric,0.05514561602777869,positive,0.05514561602777869,False
underlying_JEDI,1,83.0,83,0.0002163061600734237,0.0002163061600734237,numeric,0.1239008792715472,positive,0.1239008792715472,False
pair_MNDO_TECH,1,82.0,82,0.00025530821080754334,0.00025530821080754334,numeric,0.03295766583571243,mixed_or_flat,0.03295766583571243,False
pair_DRC_JEDI,1,81.0,81,0.0002935576942151314,0.0002935576942151314,numeric,0.02613274287272927,mixed_or_flat,0.02613274287272927,False
pair_BSKR_WOOK,1,80.0,80,0.0003146196034068787,0.0003146196034068787,numeric,0.03627157789920929,mixed_or_flat,0.03627157789920929,False
underlying_CLNE,1,79.0,79,0.00032213693966613597,0.00032213693966613597,numeric,0.11152230731111935,positive,0.11152230731111935,False
pair_BSKR_CORL,1,78.0,78,0.0004096015630433662,0.0004096015630433662,numeric,0.030491513755197604,mixed_or_flat,0.030491513755197604,False
sector_count,1,77.0,77,0.00044104144110975824,0.00044104144110975824,numeric,0.35136037936382625,positive,0.35136037936382625,False
underlying_BSKR,1,76.0,76,0.00044627498225490055,0.00044627498225490055,numeric,0.03672156585934662,mixed_or_flat,0.03672156585934662,False
pair_REBL_TECH,1,75.0,75,0.0004857517787931806,0.0004857517787931806,numeric,-0.032672957008206036,mixed_or_flat,0.032672957008206036,False
pair_HTTX_REBL,1,74.0,74,0.000491605057697176,0.000491605057697176,numeric,0.08706303060484258,positive,0.08706303060484258,False
worst_of_realized_vol_top2_spread,1,73.0,73,0.000528851498538098,0.000528851498538098,numeric,0.3458848098461293,positive,0.3458848098461293,False
pair_BSKR_SITH,1,72.0,72,0.0007507029080792484,0.0007507029080792484,numeric,0.024446525672529633,mixed_or_flat,0.024446525672529633,False
basket_size,1,71.0,71,0.0009007467030691516,0.0009007467030691516,numeric,0.35136037936382625,positive,0.35136037936382625,False
underlying_CORL,1,70.0,70,0.0009239072277609441,0.0009239072277609441,numeric,0.07457224255088366,positive,0.07457224255088366,False
pair_BSKR_MNDO,1,69.0,69,0.0009523947870484281,0.0009523947870484281,numeric,0.0008719415021510626,mixed_or_flat,0.0008719415021510626,False
