segment,feature,train_target_corr,validation_target_corr,corr_range,validation_sign_flip_vs_train,abs_validation_shift_in_train_sd
worst_of,callable_maturity_months,0.6711103964296594,0.6558183984722192,0.015291997957440184,False,0.09453340622267153
worst_of,pair_MNDO_WOOK,0.00548576521569749,0.02072179312214705,0.01523602790644956,False,0.029223415243724436
worst_of,pair_POBK_WOOK,0.01558123698965839,0.0011198803533052615,0.014461356636353128,False,0.03220551616789035
worst_of,pair_TECH_WOOK,-0.01660489805203408,-0.030879616801023052,0.014274718748988974,False,0.02314077301310281
worst_of,underlying_MNDO,-0.01785894785566113,-0.003636247183443146,0.014222700672217982,False,0.0010254533429331133
worst_of,pair_CLNE_DRC,-0.01078875951966808,-0.023977479887589047,0.013188720367920967,False,0.061483265872222324
worst_of,pair_REBL_WOOK,-0.04822989966279227,-0.05951277645527257,0.0112828767924803,False,0.03978405493835863
worst_of,pair_CLNE_REBL,-0.05413768500259262,-0.06539611315648164,0.01125842815388902,False,0.02344809257363195
worst_of,pair_NABO_REBL,-0.08254958874586296,-0.07132821571017292,0.011221373035690041,False,0.019578634353370247
worst_of,pair_REBL_TECH,-0.07283180469866113,-0.06170098935186556,0.011130815346795567,False,0.02839942036395138
worst_of,worst_of_vol_pressure,0.27047329514406737,0.28139721710984356,0.010923921965776184,False,0.0006127640490407371
worst_of,underlying_TECH,-0.01382322365554532,-0.023902866158406196,0.010079642502860876,False,0.00848657563052922
worst_of,underlying_CLNE,0.008177082829197251,0.017472914549424592,0.00929583172022734,False,0.02898815201950721
worst_of,pair_HTTX_REBL,0.08514684257677411,0.09416659067866487,0.009019748101890754,False,0.05773181644847694
worst_of,realized_vol_63d_second_highest,0.09744393490263344,0.0889575137583379,0.008486421144295542,False,0.0520127122618322
worst_of,pair_JEDI_POBK,0.010129143147596727,0.0018668252345327265,0.008262317913064001,False,0.05321028326430046
worst_of,underlying_JEDI,-0.0056189462730558415,-0.013859995367829721,0.00824104909477388,False,0.060024885789560216
worst_of,pair_JEDI_SITH,0.0172911621182069,0.025276608020805304,0.007985445902598403,False,0.03452274954414568
worst_of,underlying_DRC,-0.02324236226796562,-0.031042702319894436,0.007800340051928815,False,0.012606806424664456
worst_of,pair_CORL_TECH,0.004689123512340091,0.012241009967188956,0.007551886454848865,False,0.027092069095895243
worst_of,pair_HTTX_NABO,0.10948048108076518,0.10193836210751887,0.007542118973246303,False,0.011689141483842033
worst_of,underlying_REBL,-0.19001170196554482,-0.18253167507323906,0.007480026892305758,False,0.03968330188940681
worst_of,realized_vol_63d_min,0.06565712169597827,0.0583667200968328,0.007290401599145471,False,0.04808628763378736
worst_of,no_call_fraction_of_maturity,-0.3511711853345878,-0.35827694133128035,0.007105755996692553,False,0.06763186194704976
worst_of,pair_DRC_REBL,-0.05074445198922641,-0.057446129190048975,0.006701677200822563,False,0.0038398622649917532
worst_of,underlying_HTTX,0.3499158745511512,0.3557623907546372,0.00584651620348603,False,0.02961777250963584
worst_of,pair_MNDO_SITH,-0.03385394573908599,-0.0392498712362564,0.005395925497170412,False,0.014485924992405554
worst_of,structural_base_vol_min,0.09289762369455373,0.0981394188973015,0.0052417952027477704,False,0.024349570086824257
worst_of,pair_HTTX_TECH,0.1256723166621159,0.1308507293585849,0.005178412696469015,False,0.030501627619608465
worst_of,pair_BSKR_REBL,-0.06920110659108104,-0.07356214153930192,0.0043610349482208766,False,0.0017810693298662764
worst_of,underlying_POBK,0.037858817211903595,0.041971459898467914,0.004112642686564319,False,0.02717407663046462
worst_of,pair_SITH_TECH,0.003619900068763516,0.007469411870551375,0.0038495118017878595,False,0.0015669940294448955
worst_of,no_call_period_months,-0.15421171599112377,-0.15045771733061925,0.0037539986605045206,False,0.04662811345269633
worst_of,pair_DRC_POBK,0.017492946700952396,0.02092519819913056,0.0034322514981781627,False,0.03386025777975285
worst_of,is_daily_observation,-0.06335664059850774,-0.05994154106435409,0.0034150995341536428,False,0.006110921609668833
worst_of,pair_JEDI_WOOK,-0.021769733645029283,-0.024909957422964684,0.003140223777935401,False,0.03842081179586032
worst_of,pair_KYBR_TECH,-0.03610303900308736,-0.03308420201629866,0.0030188369867887033,False,0.012814861824196343
worst_of,structural_base_vol_top2_spread,0.20951341290600026,0.211901846090475,0.0023884331844747364,False,0.010968193530574172
worst_of,worst_of_structural_vol_top2_spread,0.20951341290600026,0.211901846090475,0.0023884331844747364,False,0.010968193530574172
worst_of,basket_realized_vol_zscore_mean,0.02817289701824546,0.025791300397285916,0.002381596620959544,False,0.244602349185714
worst_of,pair_CORL_HTTX,0.10636870165101671,0.10399362098304714,0.00237508066796957,False,0.07563962849328969
worst_of,structural_base_vol_range,0.2343863353653257,0.23204283330232942,0.002343502062996272,False,0.002361180182517701
worst_of,worst_of_structural_base_vol_range,0.2343863353653257,0.23204283330232942,0.002343502062996272,False,0.002361180182517701
worst_of,pair_BSKR_WOOK,0.015372171121054025,0.017585903292733553,0.0022137321716795277,False,0.028602391269451122
worst_of,worst_of_pressure,0.3070631499992092,0.30922834608392097,0.0021651960847117735,False,0.023308670252654838
worst_of,structural_base_vol_second_highest,0.138102728116608,0.1398095836304714,0.0017068555138634034,False,0.014068507738204733
worst_of,pair_BSKR_CLNE,0.010989634541792264,0.009480423749851538,0.0015092107919407252,False,0.00032546714464699373
worst_of,structural_base_vol_mean,0.2503498351968648,0.24956294207439886,0.0007868931224659648,False,0.028109725533792335
worst_of,structural_vol_dispersion_ratio,0.1360360825501512,0.136640930620425,0.0006048480702738057,False,0.008190941962506094
worst_of,pair_DRC_NABO,-0.022688778861768028,-0.023187281205143045,0.0004985023433750173,False,0.024922694041857776
worst_of,pair_POBK_REBL,-0.05052321088905488,-0.05043508057982787,8.813030922700388e-05,False,0.02135635566103104
worst_of,structural_base_vol_max,0.31187901495324155,0.31183001486639267,4.9000086848882685e-05,False,0.0220831473999546
worst_of,requested_year,0.004508589484036336,,0.0,False,2.0353881216703047
worst_of,is_worst_of,,,,False,
worst_of,is_single_underlying,,,,False,
worst_of,has_multiple_sectors,,,,False,
